PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"36261756","Sarcopenia and Frailty in Heart Failure: Is There a Biomarker Signature?","Sato R, Vatic M, da Fonseca GWP, von Haehling S.","Curr Heart Fail Rep. 2022 Dec;19(6):400-411. doi: 10.1007/s11897-022-00575-w. Epub 2022 Oct 20.","Sato R","Curr Heart Fail Rep","2022","2022/10/19","PMC9653351","","10.1007/s11897-022-00575-w"
"36893030","Heart Failure with Preserved Ejection Fraction: Concise Review","Sathyanarayanan SP, Oberoi M, Saad Shaukat MH, Stys T, Stys A.","S D Med. 2022 Nov;75(11):513-517.","Sathyanarayanan SP","S D Med","2022","2023/03/09","","",""
"37536781","Heart Failure: Priorities for Transition to Home","Bowers MT, Carter T.","Nurs Clin North Am. 2023 Sep;58(3):283-294. doi: 10.1016/j.cnur.2023.05.001. Epub 2023 Jun 15.","Bowers MT","Nurs Clin North Am","2023","2023/08/03","","","10.1016/j.cnur.2023.05.001"
"36460629","ACC/AHA/HFSA 2022 and ESC 2021 guidelines on heart failure comparison","Behnoush AH, Khalaji A, Naderi N, Ashraf H, von Haehling S.","ESC Heart Fail. 2023 Jun;10(3):1531-1544. doi: 10.1002/ehf2.14255. Epub 2022 Dec 2.","Behnoush AH","ESC Heart Fail","2023","2022/12/02","PMC10192289","","10.1002/ehf2.14255"
"37677743","Heart failure without a reduced ejection fraction","Kumar S, Psotka MA.","Am J Manag Care. 2023 Sep;29(10 Suppl):S187-S194. doi: 10.37765/ajmc.2023.89417.","Kumar S","Am J Manag Care","2023","2023/09/07","","","10.37765/ajmc.2023.89417"
"36194359","Emerging Therapeutic Targets for Heart Failure","Sharma M, Bhatt LK.","Curr Cardiol Rep. 2022 Nov;24(11):1737-1754. doi: 10.1007/s11886-022-01789-z. Epub 2022 Oct 4.","Sharma M","Curr Cardiol Rep","2022","2022/10/04","","","10.1007/s11886-022-01789-z"
"37098791","Natriuretic peptides: role in the diagnosis and management of heart failure: a scientific statement from the Heart Failure Association of the European Society of Cardiology, Heart Failure Society of America and Japanese Heart Failure Society","Tsutsui H, Albert NM, Coats AJS, Anker SD, Bayes-Genis A, Butler J, Chioncel O, Defilippi CR, Drazner MH, Felker GM, Filippatos G, Fiuzat M, Ide T, Januzzi JL Jr, Kinugawa K, Kuwahara K, Matsue Y, Mentz RJ, Metra M, Pandey A, Rosano G, Saito Y, Sakata Y, Sato N, Seferovic PM, Teerlink J, Yamamoto K, Yoshimura M.","Eur J Heart Fail. 2023 May;25(5):616-631. doi: 10.1002/ejhf.2848. Epub 2023 Apr 26.","Tsutsui H","Eur J Heart Fail","2023","2023/04/26","","","10.1002/ejhf.2848"
"36424027","Heart Failure in Rheumatic Disease: Secular Trends and Novel Insights","Løgstrup BB.","Rheum Dis Clin North Am. 2023 Feb;49(1):67-79. doi: 10.1016/j.rdc.2022.08.003.","Løgstrup BB","Rheum Dis Clin North Am","2023","2022/11/24","","","10.1016/j.rdc.2022.08.003"
"37678960","Cardio-Obstetrics and Heart Failure: JACC: Heart Failure State-of-the-Art Review","DeFilippis EM, Bhagra C, Casale J, Ging P, Macera F, Punnoose L, Rasmusson K, Sharma G, Sliwa K, Thorne S, Walsh MN, Kittleson MM.","JACC Heart Fail. 2023 Sep;11(9):1165-1180. doi: 10.1016/j.jchf.2023.07.009.","DeFilippis EM","JACC Heart Fail","2023","2023/09/07","","","10.1016/j.jchf.2023.07.009"
"35098432","Heart Failure with Preserved Ejection Fraction: a Pharmacotherapeutic Update","Vaz-Salvador P, Adão R, Vasconcelos I, Leite-Moreira AF, Brás-Silva C.","Cardiovasc Drugs Ther. 2023 Aug;37(4):815-832. doi: 10.1007/s10557-021-07306-8. Epub 2022 Jan 31.","Vaz-Salvador P","Cardiovasc Drugs Ther","2023","2022/01/31","PMC8801287","","10.1007/s10557-021-07306-8"
"35604573","Heart failure with a preserved ejection fraction and the EMPEROR-Preserved Trial: a review of how we got here","Tribolet de Abreu T.","Heart Fail Rev. 2022 Nov;27(6):2077-2082. doi: 10.1007/s10741-022-10244-8. Epub 2022 May 23.","Tribolet de Abreu T","Heart Fail Rev","2022","2022/05/23","","","10.1007/s10741-022-10244-8"
"36064684","Vitamin D and heart failure: A two-sample mendelian randomization study","Luo Q, Yan W, Nie Q, Han W.","Nutr Metab Cardiovasc Dis. 2022 Nov;32(11):2612-2620. doi: 10.1016/j.numecd.2022.08.003. Epub 2022 Aug 11.","Luo Q","Nutr Metab Cardiovasc Dis","2022","2022/09/05","","","10.1016/j.numecd.2022.08.003"
"36796671","Rationale, Design and Baseline Characteristics of the PARAGLIDE-HF Trial: Sacubitril/Valsartan vs Valsartan in HFmrEF and HFpEF With a Worsening Heart Failure Event","Mentz RJ, Ward JH, Hernandez AF, Lepage S, Morrow DA, Sarwat S, Sharma K, Solomon SD, Starling RC, Velazquez EJ, Williamson K, Zieroth S, Braunwald E.","J Card Fail. 2023 Jun;29(6):922-930. doi: 10.1016/j.cardfail.2023.02.001. Epub 2023 Feb 14.","Mentz RJ","J Card Fail","2023","2023/02/16","","","10.1016/j.cardfail.2023.02.001"
"36561091","Medical Therapy for Heart Failure with Preserved Ejection Fraction","Varnado S, Ali HR, Trachtenberg B.","Methodist Debakey Cardiovasc J. 2022 Dec 6;18(5):17-26. doi: 10.14797/mdcvj.1162. eCollection 2022.","Varnado S","Methodist Debakey Cardiovasc J","2022","2022/12/23","PMC9733121","","10.14797/mdcvj.1162"
"35934293","Assessment of filling pressures and fluid overload in heart failure: an updated perspective","de la Espriella R, Cobo M, Santas E, Verbrugge FH, Fudim M, Girerd N, Miñana G, Górriz JL, Bayés-Genís A, Núñez J.","Rev Esp Cardiol (Engl Ed). 2023 Jan;76(1):47-57. doi: 10.1016/j.rec.2022.07.009. Epub 2022 Aug 4.","de la Espriella R","Rev Esp Cardiol (Engl Ed)","2023","2022/08/07","","","10.1016/j.rec.2022.07.009"
"37310594","Sex-Related Differences in Heart Failure Diagnosis","Maidana D, Bonanad C, Ortiz-Cortés C, Arroyo-Álvarez A, Barreres-Martín G, Muñoz-Alfonso C, Maicas-Alcaine E, García-Pérez C, Aparici-Redal A, Freitas-Durks V, Esteban-Fernández A.","Curr Heart Fail Rep. 2023 Aug;20(4):254-262. doi: 10.1007/s11897-023-00609-x. Epub 2023 Jun 13.","Maidana D","Curr Heart Fail Rep","2023","2023/06/13","","","10.1007/s11897-023-00609-x"
"36373551","Sodium Restriction in Patients With Heart Failure: A Systematic Review and Meta-Analysis of Randomized Clinical Trials","Colin-Ramirez E, Sepehrvand N, Rathwell S, Ross H, Escobedo J, Macdonald P, Troughton R, Saldarriaga C, Lanas F, Doughty R, McAlister FA, Ezekowitz JA.","Circ Heart Fail. 2023 Jan;16(1):e009879. doi: 10.1161/CIRCHEARTFAILURE.122.009879. Epub 2022 Nov 14.","Colin-Ramirez E","Circ Heart Fail","2023","2022/11/14","","","10.1161/CIRCHEARTFAILURE.122.009879"
"36656602","Chronic heart failure management in adult patients with congenital heart disease","Dhingra NK, Mazer CD, Connelly KA, Verma S.","Curr Opin Cardiol. 2023 Mar 1;38(2):82-87. doi: 10.1097/HCO.0000000000001011. Epub 2023 Jan 19.","Dhingra NK","Curr Opin Cardiol","2023","2023/01/19","","","10.1097/HCO.0000000000001011"
"36210136","Pulmonary Hypertension in Heart Failure with Preserved Ejection Fraction","Moles VM, Grafton G.","Cardiol Clin. 2022 Nov;40(4):533-540. doi: 10.1016/j.ccl.2022.06.007. Epub 2022 Sep 15.","Moles VM","Cardiol Clin","2022","2022/10/09","","","10.1016/j.ccl.2022.06.007"
"36922473","Diagnosis and Management of Pediatric Heart Failure","Mille F, Burstein D.","Indian J Pediatr. 2023 May;90(5):492-500. doi: 10.1007/s12098-022-04433-4. Epub 2023 Mar 16.","Mille F","Indian J Pediatr","2023","2023/03/16","","","10.1007/s12098-022-04433-4"
"36448685","Phenomapping in heart failure with preserved ejection fraction: insights, limitations, and future directions","Peters AE, Tromp J, Shah SJ, Lam CSP, Lewis GD, Borlaug BA, Sharma K, Pandey A, Sweitzer NK, Kitzman DW, Mentz RJ.","Cardiovasc Res. 2023 Feb 3;118(18):3403-3415. doi: 10.1093/cvr/cvac179.","Peters AE","Cardiovasc Res","2023","2022/11/30","PMC10144733","","10.1093/cvr/cvac179"
"37611990","Tricuspid Regurgitation Management for Heart Failure","Hahn RT, Brener MI, Cox ZL, Pinney S, Lindenfeld J.","JACC Heart Fail. 2023 Aug;11(8 Pt 2):1084-1102. doi: 10.1016/j.jchf.2023.07.020.","Hahn RT","JACC Heart Fail","2023","2023/08/23","","","10.1016/j.jchf.2023.07.020"
"36949650","Heart failure and diabetes: Clinical significance and epidemiology of this two-way association","Jerkins T, McGill JB, Bell DSH.","Diabetes Obes Metab. 2023 Jul;25 Suppl 3:3-14. doi: 10.1111/dom.15062. Epub 2023 Apr 5.","Jerkins T","Diabetes Obes Metab","2023","2023/03/23","","","10.1111/dom.15062"
"36082670","Growing Heart Failure Burden of Hypertensive Heart Disease: A Call to Action","Díez J, Butler J.","Hypertension. 2023 Jan;80(1):13-21. doi: 10.1161/HYPERTENSIONAHA.122.19373. Epub 2022 Sep 9.","Díez J","Hypertension","2023","2022/09/09","","","10.1161/HYPERTENSIONAHA.122.19373"
"36456204","Methamphetamine-associated heart failure: a systematic review of observational studies","Manja V, Nrusimha A, Gao Y, Sheikh A, McGovern M, Heidenreich PA, Sandhu ATS, Asch S.","Heart. 2023 Jan 11;109(3):168-177. doi: 10.1136/heartjnl-2022-321610.","Manja V","Heart","2023","2022/12/01","","","10.1136/heartjnl-2022-321610"
"36740210","Misconceptions and Facts about Heart Failure with Reduced Ejection Fraction","Krittanawong C, Rodriguez M, Lui M, Misra A, Tang WHW, Bozkurt B, Yancy CW.","Am J Med. 2023 May;136(5):422-431. doi: 10.1016/j.amjmed.2023.01.024. Epub 2023 Feb 3.","Krittanawong C","Am J Med","2023","2023/02/05","","","10.1016/j.amjmed.2023.01.024"
"35726831","Specific microRNAs and heart failure: time for the next step toward application?","Sigutova R, Evin L, Stejskal D, Ploticova V, Svagera Z.","Biomed Pap Med Fac Univ Palacky Olomouc Czech Repub. 2022 Dec;166(4):359-368. doi: 10.5507/bp.2022.028. Epub 2022 Jun 20.","Sigutova R","Biomed Pap Med Fac Univ Palacky Olomouc Czech Repub","2022","2022/06/21","","","10.5507/bp.2022.028"
"37455461","Overview of the Treatment of Congestion in Heart Failure","Martinez-Sole J, Sanchez-Martinez JC, Lopez-Vilella R, Donoso-Trenado V, Sanchez-Lazaro I, Almenar-Bonet L, Sanz-Sanchez J, Martinez-Dolz L.","Curr Pharm Des. 2023;29(20):1592-1601. doi: 10.2174/1381612829666230714153404.","Martinez-Sole J","Curr Pharm Des","2023","2023/07/17","","","10.2174/1381612829666230714153404"
"36695879","[Acute heart failure and cardiogenic shock : An update]","Westphal JG, Schulze PC.","Herz. 2023 Mar;48(2):95-100. doi: 10.1007/s00059-022-05159-x. Epub 2023 Jan 25.","Westphal JG","Herz","2023","2023/01/25","","","10.1007/s00059-022-05159-x"
"35962923","Cognitive Dysfunction in Heart Failure: Pathophysiology and Implications for Patient Management","Ye S, Huynh Q, Potter EL.","Curr Heart Fail Rep. 2022 Oct;19(5):303-315. doi: 10.1007/s11897-022-00564-z. Epub 2022 Aug 13.","Ye S","Curr Heart Fail Rep","2022","2022/08/13","","","10.1007/s11897-022-00564-z"
"37013947","Inflammatory Mechanisms in Heart Failure with Preserved Ejection Fraction","Daou D, Gillette TG, Hill JA.","Physiology (Bethesda). 2023 Sep 1;38(5):0. doi: 10.1152/physiol.00004.2023. Epub 2023 Apr 4.","Daou D","Physiology (Bethesda)","2023","2023/04/04","PMC10396273","","10.1152/physiol.00004.2023"
"34933114","Heart failure with preserved ejection fraction assessed by cardiac magnetic resonance: From clinical uses to emerging techniques","He J, Yang W, Jiang Y, Sun X, Zhao S, Weiss R, Sirajuddin A, Lu M.","Trends Cardiovasc Med. 2023 Apr;33(3):141-147. doi: 10.1016/j.tcm.2021.12.006. Epub 2021 Dec 18.","He J","Trends Cardiovasc Med","2023","2021/12/21","","","10.1016/j.tcm.2021.12.006"
"35877025","Heart failure with mildly reduced ejection fraction: from diagnosis to treatment. Gaps and dilemmas in current clinical practice","Cvijic M, Rib Y, Danojevic S, Radulescu CI, Nazghaidze N, Vardas P.","Heart Fail Rev. 2023 Jul;28(4):767-780. doi: 10.1007/s10741-022-10267-1. Epub 2022 Jul 25.","Cvijic M","Heart Fail Rev","2023","2022/07/25","","","10.1007/s10741-022-10267-1"
"37286258","Remote Monitoring for Heart Failure Management at Home","Stevenson LW, Ross HJ, Rathman LD, Boehmer JP.","J Am Coll Cardiol. 2023 Jun 13;81(23):2272-2291. doi: 10.1016/j.jacc.2023.04.010.","Stevenson LW","J Am Coll Cardiol","2023","2023/06/07","","","10.1016/j.jacc.2023.04.010"
"35611782","Malthusian Trajectory for Heart Failure and Novel Translational Ambulatory Technologies","Niranjan B, de Courten MP, Iyngkaran P, Battersby M.","Curr Cardiol Rev. 2023;19(3):e240522205193. doi: 10.2174/1573403X18666220524145646.","Niranjan B","Curr Cardiol Rev","2023","2022/05/25","","","10.2174/1573403X18666220524145646"
"37321698","Recent Advances in Translational Research for Heart Failure in Japan","Yamada S, Ko T, Katagiri M, Morita H, Komuro I.","J Card Fail. 2023 Jun;29(6):931-938. doi: 10.1016/j.cardfail.2022.11.018.","Yamada S","J Card Fail","2023","2023/06/15","","","10.1016/j.cardfail.2022.11.018"
"37108691","Coronary Artery Spasm-Related Heart Failure Syndrome: Literature Review","Hung MJ, Yeh CT, Kounis NG, Koniari I, Hu P, Hung MY.","Int J Mol Sci. 2023 Apr 19;24(8):7530. doi: 10.3390/ijms24087530.","Hung MJ","Int J Mol Sci","2023","2023/04/28","PMC10145866","","10.3390/ijms24087530"
"35869679","Impact analysis of heart failure across European countries: an ESC-HFA position paper","Rosano GMC, Seferovic P, Savarese G, Spoletini I, Lopatin Y, Gustafsson F, Bayes-Genis A, Jaarsma T, Abdelhamid M, Miqueo AG, Piepoli M, Tocchetti CG, Ristić AD, Jankowska E, Moura B, Hill L, Filippatos G, Metra M, Milicic D, Thum T, Chioncel O, Ben Gal T, Lund LH, Farmakis D, Mullens W, Adamopoulos S, Bohm M, Norhammar A, Bollmann A, Banerjee A, Maggioni AP, Voors A, Solal AC, Coats AJS.","ESC Heart Fail. 2022 Oct;9(5):2767-2778. doi: 10.1002/ehf2.14076. Epub 2022 Jul 22.","Rosano GMC","ESC Heart Fail","2022","2022/07/23","PMC9715845","","10.1002/ehf2.14076"
"37329419","Treatment of Iron Deficiency in Heart Failure","Shamsi A, Cannata A, Piper S, Bromage DI, McDonagh TA.","Curr Cardiol Rep. 2023 Jul;25(7):649-661. doi: 10.1007/s11886-023-01889-4. Epub 2023 Jun 17.","Shamsi A","Curr Cardiol Rep","2023","2023/06/17","PMC10307722","","10.1007/s11886-023-01889-4"
"37641801","Role of cardiac imaging in management of heart failure","Kim SR, Park SM.","Korean J Intern Med. 2023 Sep;38(5):607-619. doi: 10.3904/kjim.2023.262. Epub 2023 Aug 29.","Kim SR","Korean J Intern Med","2023","2023/08/29","PMC10493450","","10.3904/kjim.2023.262"
"35649488","Heart failure with normal LVEF in BIOSTAT-CHF","Baumhove L, Tromp J, Figarska S, van Essen BJ, Anker SD, Dickstein K, Cleland JG, Lang CC, Filippatos G, Ng LL, Samani NJ, Metra M, van Veldhuisen DJ, Lam CSP, Voors AA, van der Meer P.","Int J Cardiol. 2022 Oct 1;364:85-90. doi: 10.1016/j.ijcard.2022.05.054. Epub 2022 May 29.","Baumhove L","Int J Cardiol","2022","2022/06/01","","","10.1016/j.ijcard.2022.05.054"
"37409660","Telemedicine for the treatment of heart failure: new opportunities after COVID-19","Bellicini MG, D'Altilia FP, Gussago C, Adamo M, Lombardi CM, Tomasoni D, Inciardi RM, Metra M, Pagnesi M.","J Cardiovasc Med (Hagerstown). 2023 Oct 1;24(10):700-707. doi: 10.2459/JCM.0000000000001514. Epub 2023 Jun 26.","Bellicini MG","J Cardiovasc Med (Hagerstown)","2023","2023/07/06","","","10.2459/JCM.0000000000001514"
"36454460","Genome Editing and Heart Failure","Masarone D, Caiazza M, Amodio F, Melillo E, Pacileo R, Limongelli G, Pacileo G.","Adv Exp Med Biol. 2023;1396:75-85. doi: 10.1007/978-981-19-5642-3_5.","Masarone D","Adv Exp Med Biol","2023","2022/12/01","","","10.1007/978-981-19-5642-3_5"
"37230651","Racial, Ethnic, and Gender Disparities in Valvular Heart Failure Management","Ilonze O, Free K, Shinnerl A, Lewsey S, Breathett K.","Heart Fail Clin. 2023 Jul;19(3):379-390. doi: 10.1016/j.hfc.2023.02.009. Epub 2023 Apr 8.","Ilonze O","Heart Fail Clin","2023","2023/05/25","","","10.1016/j.hfc.2023.02.009"
"37121386","Biobanks: The unmet need in heart failure management","Manzi G, Mariani MV, Filomena D, Poscia R, Severino P, Iaconelli A, Recchioni T, Madonna R, Vizza CD, Badagliacca R.","Vascul Pharmacol. 2023 Jun;150:107179. doi: 10.1016/j.vph.2023.107179. Epub 2023 Apr 28.","Manzi G","Vascul Pharmacol","2023","2023/04/30","","","10.1016/j.vph.2023.107179"
"36397629","Galectin-3 is Associated with Heart Failure Incidence: A Meta-Analysis","Baccouche BM, Mahmoud MA, Nief C, Patel K, Natterson-Horowitz B.","Curr Cardiol Rev. 2023;19(3):e171122211004. doi: 10.2174/1573403X19666221117122012.","Baccouche BM","Curr Cardiol Rev","2023","2022/11/18","","","10.2174/1573403X19666221117122012"
"36349485","MicroRNAs: diagnostic, prognostic and therapeutic role in heart failure-a review","Gargiulo P, Marzano F, Salvatore M, Basile C, Buonocore D, Parlati ALM, Nardi E, Asile G, Abbate V, Colella A, Chirico A, Marciano C, Paolillo S, Perrone-Filardi P.","ESC Heart Fail. 2023 Apr;10(2):753-761. doi: 10.1002/ehf2.14153. Epub 2022 Nov 8.","Gargiulo P","ESC Heart Fail","2023","2022/11/09","PMC10053166","","10.1002/ehf2.14153"
"36027595","Management of Iron Deficiency in Heart Failure: A Review of Evidence","Gale SE, Nguyen B, Dunn SP, Kellison E, Gorman EF, Beavers C.","J Cardiovasc Pharmacol. 2022 Dec 1;80(6):755-768. doi: 10.1097/FJC.0000000000001341.","Gale SE","J Cardiovasc Pharmacol","2022","2022/08/26","","","10.1097/FJC.0000000000001341"
"37347466","Heart Failure, Neuropathy, and Spinal Stenosis","Welleman OA, Schrama YC, Boiten HJ.","JAMA. 2023 Jul 3;330(1):76-77. doi: 10.1001/jama.2023.8977.","Welleman OA","JAMA","2023","2023/06/22","","","10.1001/jama.2023.8977"
"36351541","Association between serum Klotho concentration and heart failure in adults, a cross-sectional study from NHANES 2007-2016","Cai J, Zhang L, Chen C, Ge J, Li M, Zhang Y, Liu H, Song B.","Int J Cardiol. 2023 Jan 1;370:236-243. doi: 10.1016/j.ijcard.2022.11.010. Epub 2022 Nov 18.","Cai J","Int J Cardiol","2023","2022/11/09","","","10.1016/j.ijcard.2022.11.010"
"36385324","Contemporary Data on the Status and Medical Management of Acute Heart Failure","Bazmpani MA, Papanastasiou CA, Kamperidis V, Zebekakis PE, Karvounis H, Kalogeropoulos AP, Karamitsos TD.","Curr Cardiol Rep. 2022 Dec;24(12):2009-2022. doi: 10.1007/s11886-022-01822-1. Epub 2022 Nov 16.","Bazmpani MA","Curr Cardiol Rep","2022","2022/11/17","PMC9747828","","10.1007/s11886-022-01822-1"
"37337752","Assessment of the patient with heart failure symptoms and risk factors: A guide for the non-cardiologist","Arnold SV.","Diabetes Obes Metab. 2023 Jul;25 Suppl 3:15-25. doi: 10.1111/dom.15166. Epub 2023 Jun 20.","Arnold SV","Diabetes Obes Metab","2023","2023/06/20","","","10.1111/dom.15166"
"36210135","Geriatric Domains in Patients with Heart Failure with Preserved Ejection Fraction","Goyal P, Zainul O BS, MD, Marshall D, Kitzman DW.","Cardiol Clin. 2022 Nov;40(4):517-532. doi: 10.1016/j.ccl.2022.06.006. Epub 2022 Sep 5.","Goyal P","Cardiol Clin","2022","2022/10/09","PMC10282897","NIHMS1907025","10.1016/j.ccl.2022.06.006"
"36435568","How to Treat Right Heart Failure. Tips for Clinicians in Everyday Practice","Crisci G, D'Assante R, Valente V, Giardino F, D'Agostino A, Ranieri B, Arcopinto M, Marra AM, Rainone C, Modestino M, Rega S, Fulgione L, Sepe C, Caruso G, Bossone E, Salzano A, Cittadini A.","Heart Fail Clin. 2023 Jan;19(1):125-135. doi: 10.1016/j.hfc.2022.08.022.","Crisci G","Heart Fail Clin","2023","2022/11/26","","","10.1016/j.hfc.2022.08.022"
"36185009","Managing Covid-19 in patients with heart failure: current status and future prospects","Prameswari HS, Putra ICS, Raffaello WM, Nathaniel M, Suhendro AS, Khalid AF, Pranata R.","Expert Rev Cardiovasc Ther. 2022 Oct;20(10):807-828. doi: 10.1080/14779072.2022.2132230. Epub 2022 Oct 12.","Prameswari HS","Expert Rev Cardiovasc Ther","2022","2022/10/03","","","10.1080/14779072.2022.2132230"
"36376054","Patiromer for hyperkalaemia in heart failure","","Drug Ther Bull. 2022 Dec;60(12):182. doi: 10.1136/dtb.2022.000063. Epub 2022 Nov 14.","","Drug Ther Bull","2022","2022/11/14","","","10.1136/dtb.2022.000063"
"35410893","Cardiopulmonary exercise testing for heart failure: pathophysiology and predictive markers","Buber J, Robertson HT.","Heart. 2023 Jan 27;109(4):256-263. doi: 10.1136/heartjnl-2021-319617.","Buber J","Heart","2023","2022/04/12","","","10.1136/heartjnl-2021-319617"
"36004821","Emerging epigenetic therapies of cardiac fibrosis and remodelling in heart failure: from basic mechanisms to early clinical development","McKinsey TA, Foo R, Anene-Nzelu CG, Travers JG, Vagnozzi RJ, Weber N, Thum T.","Cardiovasc Res. 2023 Feb 3;118(18):3482-3498. doi: 10.1093/cvr/cvac142.","McKinsey TA","Cardiovasc Res","2023","2022/08/25","PMC10202443","","10.1093/cvr/cvac142"
"37072681","A year in heart failure: updates of clinical and preclinical findings","Bäck M, von Haehling S, Papp Z, Piepoli MF.","ESC Heart Fail. 2023 Aug;10(4):2150-2158. doi: 10.1002/ehf2.14377. Epub 2023 Apr 18.","Bäck M","ESC Heart Fail","2023","2023/04/18","PMC10375102","","10.1002/ehf2.14377"
"36727161","Evaluation and Management of Patients with Diabetes and Heart Failure: A Korean Diabetes Association and Korean Society of Heart Failure Consensus Statement","Lee KS, Noh J, Park SM, Choi KM, Kang SM, Won KC, Cho HJ, Moon MK.","Diabetes Metab J. 2023 Jan;47(1):10-26. doi: 10.4093/dmj.2022.0420. Epub 2023 Jan 26.","Lee KS","Diabetes Metab J","2023","2023/02/02","PMC9925146","","10.4093/dmj.2022.0420"
"36740840","Obesity-related heart failure with preserved ejection fraction: diagnostic and therapeutic challenges","Jung MH, Shin MS.","Korean J Intern Med. 2023 Mar;38(2):157-166. doi: 10.3904/kjim.2022.271. Epub 2023 Feb 6.","Jung MH","Korean J Intern Med","2023","2023/02/06","PMC9993108","","10.3904/kjim.2022.271"
"36348348","Effect of pharmacological treatment on outcomes of heart failure with preserved ejection fraction: an updated systematic review and network meta-analysis of randomized controlled trials","Lin Y, Cai Z, Yuan J, Liu H, Pang X, Chen Q, Tang X, Geng Q, Dong S.","Cardiovasc Diabetol. 2022 Nov 8;21(1):237. doi: 10.1186/s12933-022-01679-2.","Lin Y","Cardiovasc Diabetol","2022","2022/11/08","PMC9644566","","10.1186/s12933-022-01679-2"
